GoalScorer_Name: Queensy Menig GoalScorer_Surname: Menig GoalScorer_Position: Forward AssistGiver_Name: Anass Achahbar AssistGiver_Surname: Anass Achahbar AssistGiver_Position: Forward Minute: 31 TimeSinceGoal: 0 GoalType: RegularGoal GoalID: 1 Score: 0-1 Team: PEC Zwolle ; away OtherTeam: N.E.C. ; home GoalKeeperTeamName: Mickey van der Hart GoalKeeperTeamSurname: van der Hart GoalKeeperOtherTeamName: Joris Delle GoalKeeperOtherTeamSurname: Delle

GoalScorer_Name: Queensy Menig GoalScorer_Surname: Menig GoalScorer_Position: Forward AssistGiver_Name: Anass Achahbar AssistGiver_Surname: Anass Achahbar AssistGiver_Position: Forward Minute: 31 TimeSinceGoal: 0 GoalType: RegularGoal GoalID: 1 Score: 0-1 Team: PEC Zwolle ; away OtherTeam: N.E.C. ; home GoalKeeperTeamName: Mickey van der Hart GoalKeeperTeamSurname: van der Hart GoalKeeperOtherTeamName: Joris Delle GoalKeeperOtherTeamSurname: Delle

GoalScorer_Name: Queensy Menig GoalScorer_Surname: Menig GoalScorer_Position: Forward AssistGiver_Name: Anass Achahbar AssistGiver_Surname: Anass Achahbar AssistGiver_Position: Forward Minute: 31 TimeSinceGoal: 0 GoalType: RegularGoal GoalID: 1 Score: 0-1 Team: PEC Zwolle ; away OtherTeam: N.E.C. ; home GoalKeeperTeamName: Mickey van der Hart GoalKeeperTeamSurname: van der Hart GoalKeeperOtherTeamName: Joris Delle GoalKeeperOtherTeamSurname: Delle

GoalScorer_Name: Queensy Menig GoalScorer_Surname: Menig GoalScorer_Position: Forward AssistGiver_Name: Anass Achahbar AssistGiver_Surname: Anass Achahbar AssistGiver_Position: Forward Minute: 31 TimeSinceGoal: 0 GoalType: RegularGoal GoalID: 1 Score: 0-1 Team: PEC Zwolle ; away OtherTeam: N.E.C. ; home GoalKeeperTeamName: Mickey van der Hart GoalKeeperTeamSurname: van der Hart GoalKeeperOtherTeamName: Joris Delle GoalKeeperOtherTeamSurname: Delle

GoalScorer_Name: Reagy Ofosu GoalScorer_Surname: Ofosu GoalScorer_Position: Midfielder AssistGiver_Name: Dario Dumic AssistGiver_Surname: Dumic AssistGiver_Position: Defender Minute: 62 TimeSinceGoal: 31 GoalType: RegularGoal GoalID: 2 Score: 1-1 Team: N.E.C. ; home OtherTeam: PEC Zwolle ; away GoalKeeperTeamName: Joris Delle GoalKeeperTeamSurname: Delle GoalKeeperOtherTeamName: Mickey van der Hart GoalKeeperOtherTeamSurname: van der Hart

GoalScorer_Name: Reagy Ofosu GoalScorer_Surname: Ofosu GoalScorer_Position: Midfielder AssistGiver_Name: Dario Dumic AssistGiver_Surname: Dumic AssistGiver_Position: Defender Minute: 62 TimeSinceGoal: 31 GoalType: RegularGoal GoalID: 2 Score: 1-1 Team: N.E.C. ; home OtherTeam: PEC Zwolle ; away GoalKeeperTeamName: Joris Delle GoalKeeperTeamSurname: Delle GoalKeeperOtherTeamName: Mickey van der Hart GoalKeeperOtherTeamSurname: van der Hart

GoalScorer_Name: Reagy Ofosu GoalScorer_Surname: Ofosu GoalScorer_Position: Midfielder AssistGiver_Name: Dario Dumic AssistGiver_Surname: Dumic AssistGiver_Position: Defender Minute: 62 TimeSinceGoal: 31 GoalType: RegularGoal GoalID: 2 Score: 1-1 Team: N.E.C. ; home OtherTeam: PEC Zwolle ; away GoalKeeperTeamName: Joris Delle GoalKeeperTeamSurname: Delle GoalKeeperOtherTeamName: Mickey van der Hart GoalKeeperOtherTeamSurname: van der Hart

GoalScorer_Name: Mike Havenaar GoalScorer_Surname: Havenaar GoalScorer_Position: Forward Minute: 15 TimeSinceGoal: 0 GoalType: PenaltyGoal GoalID: 1 Score: 1-0 Team: ADO Den Haag ; home OtherTeam: Go Ahead Eagles ; away GoalKeeperTeamName: Ernestas Setkus GoalKeeperTeamSurname: Setkus GoalKeeperOtherTeamName: Theo Zwarthoed GoalKeeperOtherTeamSurname: Zwarthoed PenaltyReason: Foul FoulCommitted_Player_Name: Henrik Ojamaa FoulCommitted_Player_Surname: Ojamaa FoulCommitted_Player_Position: Forward FoulSuffered_Player_Name: Edouard Duplan FoulSuffered_Player_Surname: Duplan FoulSuffered_Player_Position: Forward

